Year,State,All management,Government - Total,Government - KVS,Government - NVS,Government - Other Central Government,Government - State Government,Government Aided,Private Unaided Recognized,Others
2021-22,India,265235830,143240480,1375257,287021,174102,141404100,27039457,88271316,6684577
2021-22,Andaman and Nicobar Islands,73861,51168,3239,789,0,47140,1891,20802,0
2021-22,Andhra Pradesh,8244647,4696207,31778,5908,1570,4656951,211692,3321792,14956
2021-22,Arunachal Pradesh,354382,233908,9516,5567,347,218478,20860,94940,4674
2021-22,Assam,7544960,5277671,53568,13076,8720,5202307,381954,1595135,290200
2021-22,Bihar,27472692,21989445,50426,19139,2344,21917536,197306,3306257,1979684
2021-22,Chandigarh,268627,165156,7280,543,1606,155727,8800,88519,6152
2021-22,Chhattisgarh,5992197,4262053,35324,11266,4756,4210707,74249,1643600,12295
2021-22,Daman and Diu and Dadra and Nagar Haveli,133358,91026,1670,1246,0,88110,7109,35223,0
2021-22,Delhi,4572107,2796676,125839,875,0,2669962,150909,1624522,0
2021-22,Goa,304982,42932,4681,800,0,37451,222937,39113,0
2021-22,Gujarat,11542276,5570875,41844,13467,2650,5512914,1814425,4155768,1208
2021-22,Haryana,6035679,2602484,35505,10430,1662,2554887,9146,3301867,122182
2021-22,Himachal Pradesh,1437022,900749,16020,5725,3161,875843,0,536204,69
2021-22,Jammu and Kashmir,2718644,1473368,29307,6734,0,1437327,209,1235033,10034
2021-22,Jharkhand,7970750,5242868,33541,11274,8356,5189697,315854,1307487,1104541
2021-22,Karnataka,12092381,5445989,61838,12080,6960,5365111,1492350,5153185,857
2021-22,Kerala,6423120,1862020,53815,7555,834,1799816,2828548,1624221,108331
2021-22,Ladakh,59788,29312,1095,986,363,26868,718,29758,0
2021-22,Lakshadweep,13586,13586,339,179,0,13068,0,0,0
2021-22,Madhya Pradesh,16169265,9429734,116689,27297,6533,9279215,111896,6523496,104139
2021-22,Maharashtra,22586695,5853094,81223,15773,17635,5738463,10238929,6392405,102267
2021-22,Manipur,693194,216636,6289,5488,611,204248,30452,430166,15940
2021-22,Meghalaya,1169720,477232,5051,4040,0,468141,384856,265667,41965
2021-22,Mizoram,309904,143345,1912,1729,193,139511,22096,137212,7251
2021-22,Nagaland,443796,170219,2000,2547,677,164995,0,273491,86
2021-22,Odisha,7576893,5255198,57332,14814,2798,5180254,858901,1361051,101743
2021-22,Puducherry,255546,97368,4659,1972,0,90737,24198,133980,0
2021-22,Punjab,6147500,3090436,51629,11467,22588,3004752,191635,2864397,1032
2021-22,Rajasthan,17667510,9912280,71534,18456,7766,9814524,0,7584938,170292
2021-22,Sikkim,135963,84411,932,1666,373,81440,3971,47581,0
2021-22,Tamil Nadu,12830951,5314845,62684,0,10991,5241170,2239360,5229947,46799
2021-22,Telangana,6915241,3303699,30475,2933,6781,3263510,90601,3514338,6603
2021-22,Tripura,713862,542892,6872,2797,0,533223,26799,129032,15139
2021-22,Uttar Pradesh,47181438,19056651,167871,35614,22628,18830538,4886841,21095448,2142498
2021-22,Uttarakhand,2449926,980808,43382,6242,2577,928607,156815,1238714,73589
2021-22,West Bengal,18733367,16564139,68098,6547,28622,16460872,33150,1936027,200051
