Year,State,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total
2018-19,India,93.6,95,94.3,77.6,79.4,78.5,91.42,92.8,92.08,57.2,58,57.6
2018-19,Andaman and Nicobar Islands,75.9,79.5,77.6,67.6,69.8,68.6,75.46,78.54,76.94,49.4,58.6,53.7
2018-19,Andhra Pradesh,94.3,90.7,92.6,82.7,82.8,82.7,92.2,89.02,90.66,64.7,66.1,65.4
2018-19,Arunachal Pradesh,92.7,93.2,92.9,64.4,68.2,66.3,88.96,90.68,89.81,44.5,47.3,45.9
2018-19,Assam,100,100,100,75.4,83.1,79.2,97.31,100,99.81,51.8,60.9,56.3
2018-19,Bihar,89.3,92.5,90.8,80.5,87.9,84.1,87.44,92.41,89.85,41.3,44.4,42.8
2018-19,Chandigarh,78.8,87.4,82.6,87.6,97.4,91.9,86.43,95.6,90.48,71.6,81.7,75.9
2018-19,Chhattisgarh,91.9,92.2,92.1,83.7,86.2,85,92.45,92.84,92.64,61.8,71.5,66.6
2018-19,Dadra and Nagar Haveli,80.3,84.7,82.3,72.6,78.8,75.4,92.07,94.62,93.26,52.8,69.9,60
2018-19,Daman and Diu,90.2,93.6,91.7,81.6,83.5,82.5,82.68,86.62,84.49,66.9,76.8,71.4
2018-19,Delhi,100,100,100,100,100,100,100,100,100,82,85.7,83.7
2018-19,Goa,91,95.7,93.2,80.5,83,81.7,91.45,94.94,93.11,65.4,71.6,68.3
2018-19,Gujarat,88.2,90.4,89.3,81.7,80.6,81.2,88.64,89.52,89.05,62.9,55,59.2
2018-19,Haryana,95.3,95.3,95.3,86.2,86.4,86.3,96.09,95.46,95.8,69.3,68.8,69.1
2018-19,Himachal Pradesh,100,100,100,93.8,95.4,94.7,99.96,100,100,84.7,87.2,85.9
2018-19,Jammu and Kashmir,77.9,81.3,79.4,58.8,60.9,59.8,70.51,73.41,71.87,41.5,42.9,42.2
2018-19,Jharkhand,97.4,96.2,96.8,75.6,78.1,76.8,92.43,92.63,92.53,52.6,54.4,53.5
2018-19,Karnataka,100,100,100,94.3,93.3,93.8,100,100,100,65.1,64.7,64.9
2018-19,Kerala,94.5,94.3,94.3,91,90.8,90.9,95.48,95.23,95.36,86.1,86.6,86.4
2018-19,Ladakh,-,-,-,-,-,-,-,-,-,-,-,-
2018-19,Lakshadweep,75,77.2,76.1,66.7,63,64.7,72.71,72.19,72.45,64.7,75.3,69.9
2018-19,Madhya Pradesh,83.7,83.1,83.4,78.5,76.5,77.6,86.06,84.76,85.43,56.5,53.4,55
2018-19,Maharashtra,97.1,97.4,97.2,82,82.2,82.1,96.65,96.54,96.6,64.7,65.1,64.9
2018-19,Manipur,100,100,100,77.9,81,79.4,100,100,100,57.7,61.3,59.5
2018-19,Meghalaya,100,100,100,61.8,71.3,66.5,100,100,100,38.3,46.6,42.4
2018-19,Mizoram,100,100,100,66.8,69.8,68.2,100,100,100,50.8,57.8,54.2
2018-19,Nagaland,75.5,77.8,76.6,52.7,56.4,54.5,73.06,75.99,74.46,37.7,42.1,39.8
2018-19,Odisha,76.7,76.8,76.7,64.3,63.7,64,83.9,83.02,83.47,48.8,49.2,49
2018-19,Puducherry,84,86.8,85.3,82,83.4,82.7,83.69,85.89,84.75,71.3,83.1,76.9
2018-19,Punjab,77.2,81.4,79.2,56.3,63.6,59.6,86.48,89.98,88.07,36.2,44.3,39.9
2018-19,Rajasthan,91.1,90.6,90.8,75.8,70.2,73.1,91.26,88.67,90.04,61.2,53.5,57.6
2018-19,Sikkim,82.6,80.1,81.4,59.4,65.6,62.5,81.28,80.41,80.85,46.6,53.7,50.1
2018-19,Tamil Nadu,89.3,90,89.7,77.9,79.8,78.8,91.68,92.13,91.9,65.6,70.4,67.9
2018-19,Telangana,100,100,100,82.2,85.8,83.9,97.27,98.57,97.89,59.5,63.3,61.4
2018-19,Tripura,100,100,100,88.9,92,90.4,100,100,100,72.8,78.9,75.8
2018-19,Uttar Pradesh,94.8,98.9,96.7,69.5,71.1,70.3,87.74,91.08,89.32,52.5,49.3,51
2018-19,Uttarakhand,100,100,100,86.5,87.8,87.1,100,100,100,69,71.4,70.1
2018-19,West Bengal,100,100,100,75.8,81.5,78.6,95.4,98.01,96.68,59.7,73,66.2
2019-20,India,96.3,98.4,97.3,80.9,82.4,81.6,93.6,95.3,94.4,59.7,60.3,60.0
2019-20,Andaman and Nicobar Islands,73.4,77.8,75.5,65.3,69.0,67.1,73.5,77.3,75.3,50.4,61.0,55.4
2019-20,Andhra Pradesh,96.7,95.2,95.9,84.9,85.2,85.0,95.6,93.4,94.5,67.1,70.5,68.7
