Year,State,Primary (1 to 5) - Boys,Primary (1 to 5) - Girls,Primary (1 to 5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total
2018-19,India,94.8,95.2,95,95.2,94.4,94.8,78.1,80.1,79.1
2018-19,Andaman and Nicobar Islands,98.6,98.3,98.5,99.7,99.2,99.5,55.3,68.6,61.8
2018-19,Andhra Pradesh,98.6,99.8,99.2,97,97.4,97.2,80.4,82.7,81.5
2018-19,Arunachal Pradesh,82.4,84.1,83.2,90.4,90,90.2,60.4,62.7,61.5
2018-19,Assam,96.1,97.1,96.6,96.2,98.8,97.5,64.9,63.2,64
2018-19,Bihar,90.9,92.8,91.8,87,87.6,87.3,72.1,69.9,71
2018-19,Chandigarh,100,100,100,100,98.6,99.4,88.3,91.4,89.7
2018-19,Chhattisgarh,95.8,95.7,95.8,91.7,93.4,92.5,66.1,76.4,71.4
2018-19,Dadra and Nagar Haveli,99.3,99.2,99.3,96.8,97.1,97,71.7,80.4,75.7
2018-19,Daman and Diu,98.7,98.3,98.6,98.9,100,99.7,67.3,76.5,71.7
2018-19,Delhi,100,100,100,98.6,99.1,98.8,73.2,75.1,74.1
2018-19,Goa,98.4,98.6,98.5,99.3,98.8,99.1,77.3,87.6,82.2
2018-19,Gujarat,97.3,98,97.6,94,90.8,92.5,73.3,78.4,75.4
2018-19,Haryana,100,100,100,98,97.4,97.7,77.6,80,78.7
2018-19,Himachal Pradesh,99.2,99,99.1,99.2,99.2,99.2,83.5,87.6,85.5
2018-19,Jammu and Kashmir,92.8,92.4,92.6,93.2,92.2,92.7,79,79.8,79.4
2018-19,Jharkhand,92.5,94.1,93.3,88.2,89.2,88.7,76.1,75.9,76
2018-19,Karnataka,100,100,100,99.8,99.4,99.6,72.5,79.2,75.7
2018-19,Kerala,99.6,100,99.8,99.9,100,100,88.5,93.1,90.8
2018-19,Ladakh,-,-,-,-,-,-,-,-,-
2018-19,Lakshadweep,100,100,100,100,100,100,88,92.2,90.2
2018-19,Madhya Pradesh,95.7,96.2,96,94.1,92.5,93.3,67.2,69.3,68.2
2018-19,Maharashtra,98.9,98.9,98.9,98.2,97.5,97.9,85.1,86.1,85.6
2018-19,Manipur,91.7,93.7,92.7,95,96.4,95.7,85.6,85.5,85.5
2018-19,Meghalaya,77.4,82,79.7,84.1,87.9,86.1,69,72.6,70.9
2018-19,Mizoram,91.3,92.3,91.8,95.9,97.6,96.7,80,82.5,81.3
2018-19,Nagaland,83.7,84.9,84.3,88,92.4,90.2,63.8,67.5,65.7
2018-19,Odisha,96.6,95.6,96.1,94.8,94.8,94.8,85.9,90.8,88.3
2018-19,Puducherry,97.9,100,99.4,99.9,100,99.9,80,89.8,84.7
2018-19,Punjab,98.4,98.5,98.4,96.9,96.9,96.9,83.1,88.3,85.4
2018-19,Rajasthan,92.8,93.5,93.2,95,94,94.5,82.7,82.5,82.6
2018-19,Sikkim,93.3,95,94.1,97.4,98.7,98,65.4,71.6,68.6
